mean_ndt,median_ndt,real_ndt,HDI_ndt_bottom,HDI_ndt_top
0.10281604799375,0.1029165,0.1082831136331385,0.0918579,0.113962
0.08650763563125,0.08664240000000001,0.08811016328370067,0.0763867,0.0961848
0.09630259463125,0.0964713,0.09481643977260869,0.0836678,0.10769
0.19269822875,0.1927585,0.18296361258502214,0.183537,0.201577
0.09904529998749999,0.0991863,0.1069419984506902,0.0870664,0.110474
0.0877790511,0.08794985,0.07438745180352914,0.0760354,0.0984262
0.11160013770624999,0.11184,0.10328338219458677,0.0986221,0.123651
0.06207537669375,0.062257900000000005,0.06027702629821072,0.0506048,0.0729395
0.042974888012500004,0.04315115,0.048526206257509676,0.0325496,0.0537239
0.11502469532499998,0.1152325,0.11281142517221132,0.103385,0.126747
0.09950384055625,0.09969405,0.09475689633295123,0.0859957,0.11296
0.09177156309375001,0.09190134999999999,0.08594281309383792,0.0812844,0.101985
0.1337895315,0.1339435,0.13769528137023987,0.12383,0.143708
0.11725867555000001,0.117404,0.1158668055533396,0.105682,0.129064
0.11512449691875,0.115321,0.1239070709619597,0.104054,0.125787
0.10787421531875001,0.108058,0.10389880124646857,0.0963616,0.118505
0.129187137875,0.1293605,0.13107390494076923,0.117029,0.141188
0.052760703881249996,0.05296045,0.05034536612344698,0.0420919,0.062753
0.09232967969375,0.09253985,0.08855626490664457,0.0804698,0.104227
0.13076254143750002,0.13090849999999998,0.1347721641227289,0.119415,0.142562
0.006152949790215375,0.00549551,0.0022153633649775184,1.10106e-07,0.0138757
0.056905864887500004,0.0571208,0.052127740002411986,0.0452345,0.0681792
0.12028430961875,0.1204675,0.11424593680946567,0.109475,0.130622
0.11341271471875002,0.1135975,0.11344860307357563,0.100877,0.125347
0.056396284000000005,0.056526850000000003,0.05157775630409396,0.0448738,0.0676622
0.16129203518750002,0.161494,0.1679769220472085,0.151257,0.171231
0.172850117125,0.17299350000000002,0.16822395847722244,0.159783,0.184587
0.1377059064375,0.137916,0.13877353142091478,0.128523,0.146717
0.10594987761875001,0.1061285,0.11416086904313957,0.0938184,0.117558
0.1556062969375,0.155775,0.14907926693523987,0.143166,0.168123
0.08614590769375,0.08631995,0.08164848918949291,0.0761902,0.0959246
0.11435538095,0.114471,0.11744194227606371,0.104532,0.124516
0.09751261055,0.09762855000000001,0.10519982721559372,0.0863559,0.109073
0.1437707035625,0.1438955,0.13932133173243885,0.133294,0.152973
0.10734460874375,0.107466,0.10315813672664172,0.0959288,0.118625
0.1051789041375,0.105456,0.10827419615795156,0.0942366,0.116044
0.1969970741875,0.1971505,0.195648506425316,0.187459,0.206228
0.09410275105625002,0.09420355,0.0857121326305305,0.0839276,0.104823
0.10630140001875,0.106431,0.1003007344980509,0.0956267,0.117289
0.021313177184249996,0.02148015,0.005016963938779012,0.00948842,0.0336488
0.10845662869374999,0.108545,0.11234530710993552,0.0963881,0.120347
0.1294171704375,0.129646,0.1252519176290569,0.117015,0.142093
0.10750117735,0.1077405,0.10607176435264463,0.0938726,0.1202
0.11324609009375,0.1134725,0.10147069457469052,0.10212,0.123738
0.10597362048125,0.106112,0.10554120441974517,0.094323,0.117261
0.09494402369375,0.09513705,0.08396286197684688,0.0840004,0.105222
0.1468167223125,0.1470865,0.1471520213314002,0.133226,0.16034
0.08207568771875,0.08223915000000001,0.08204079894878608,0.0712321,0.0922803
0.057719287075,0.05791975,0.06771786740525335,0.045267,0.0699197
0.10191889193125,0.1019965,0.10304553323237242,0.0902299,0.113036
0.18503790774999998,0.185197,0.18101455940653052,0.172011,0.197283
