mean_k_1,median_k_1,real_k_1,HDI_k_1_bottom,HDI_k_1_top
1.57504429125,1.57548,1.772761193644453,1.29409,1.86293
1.624112313375,1.623935,1.5316205325496144,1.33409,1.92079
1.652152014375,1.65204,1.6938545980691533,1.34717,1.97061
2.01485492375,2.0166500000000003,1.884971923684962,1.71833,2.31692
2.3338609200000002,2.3352,2.1901985675816666,1.99592,2.70512
2.1653703825000004,2.16432,2.253349650101809,1.87057,2.47986
2.3573952031250003,2.35866,2.1367576001413675,2.01694,2.69248
1.620951684125,1.622225,1.6219513734133173,1.29769,1.93906
2.069192473125,2.068125,1.9806887054533842,1.74159,2.40512
2.412132825,2.412105,2.360172821382944,2.07825,2.7385
2.603930241875,2.601905,2.5133490314099065,2.26274,2.92387
2.332559151875,2.331805,2.5487505823438483,2.01365,2.65681
2.0172654225,2.017595,1.975307006818551,1.69947,2.3271
2.140537433125,2.14046,2.0331505975362236,1.82754,2.46061
2.8340933056249997,2.83245,2.682026270091369,2.51843,3.16763
2.4472952506249994,2.448385,2.4443048056200736,2.14166,2.79065
2.6598700106249997,2.6593299999999997,2.6424866769663127,2.33373,2.99804
2.0194732525,2.020695,1.9922964921642858,1.67597,2.35001
2.1746790531249998,2.17399,2.295858532989195,1.85947,2.502
1.91692660625,1.9167399999999999,1.6382542745289537,1.59876,2.23971
2.1517930543749997,2.1530899999999997,1.9661314428038796,1.81648,2.46818
1.0701308243125,1.07015,1.1661717816893162,0.773224,1.36677
2.225110645625,2.22375,2.1403083990513236,1.92111,2.54136
1.858643083125,1.859105,1.9075479120540453,1.54644,2.18814
2.150820955625,2.1507199999999997,2.1765221795608376,1.81823,2.46844
1.83748422375,1.8377400000000002,1.8369726257823606,1.51392,2.1649
1.41284236925,1.4135300000000002,1.5294166653303707,1.10304,1.73114
1.96197734375,1.9632800000000001,1.7940830056366113,1.64876,2.26415
1.288810210625,1.29112,1.373692958593784,0.999664,1.58327
2.1604346312500002,2.160005,1.9107641393535273,1.82842,2.49531
2.7182312818749996,2.719125,2.54884423675853,2.36383,3.05846
1.7523723337500001,1.75173,1.708148144395462,1.42591,2.05752
2.109546539375,2.1093450000000002,2.048464137739191,1.79356,2.45662
1.795413990625,1.79618,1.5767333998839717,1.47963,2.11529
2.226333645625,2.22938,2.1989551564999967,1.90061,2.53363
1.6772657531250001,1.67868,1.763819997485631,1.36809,1.96836
2.684860605,2.68433,2.57523448856901,2.35757,3.01321
1.9617830125,1.9630049999999999,2.0076996737829194,1.63676,2.2759
2.732979061875,2.731795,2.3497700563840063,2.40873,3.05704
2.5561745837500003,2.55391,2.165930608474513,2.21479,2.89679
1.82934218375,1.83073,1.67944673163348,1.49653,2.16163
1.674724246875,1.67395,1.6895984021203079,1.36725,1.99409
1.8199725199999999,1.82253,1.5665865892589341,1.50325,2.12807
2.1623869625,2.16323,1.9493357297383425,1.83761,2.48567
2.044029721875,2.04517,2.110661432916257,1.71266,2.35944
1.7476765462499997,1.74771,1.6714363695184364,1.44909,2.05714
2.00458658125,2.003475,1.902375534401887,1.67213,2.3394
1.63924755625,1.638345,1.732345461721971,1.34473,1.94697
2.362455063125,2.36297,2.0351453439780656,2.04851,2.69811
1.81957333875,1.817,1.601089235869987,1.50519,2.12401
2.005337785,2.0051550000000002,1.845271011795377,1.67964,2.32699
2.14640928625,2.147405,2.022414426575842,1.81426,2.47218
1.7975180768749999,1.798105,1.861379827005392,1.49117,2.1168
2.3087216793750005,2.306085,2.1946347054961954,1.98959,2.61302
2.44037397375,2.44061,2.299614031621583,2.12722,2.75214
1.980066903125,1.98252,1.8595662373632742,1.66991,2.31492
1.4704545520625,1.4696150000000001,1.6009008734942314,1.15676,1.79541
1.421658889375,1.42073,1.419290507251529,1.12527,1.72242
2.5228272218749996,2.5237,2.4266601942214034,2.2009,2.82207
1.707676725625,1.708605,1.4646842153139366,1.41444,1.98718
2.3174292450000005,2.3182549999999997,2.007706078488726,1.99711,2.64052
1.9334082787500002,1.9344800000000002,1.6682664160458944,1.61718,2.23495
2.33168882,2.33132,2.3834367016892624,1.97325,2.66725
2.726208425,2.72652,2.7819287022447807,2.39229,3.06019
1.650751613375,1.65043,1.8137410469870159,1.30223,1.97331
1.3761607384999999,1.37598,1.3887459265154583,1.07419,1.68791
2.0953220837499997,2.095355,2.0464080939273606,1.77153,2.41902
2.2393334599999997,2.239035,1.948673370899743,1.89055,2.57685
1.894878690625,1.895175,1.7672888577289094,1.57641,2.20751
1.3534620171874998,1.35314,1.4697069065641908,1.04957,1.6788
2.1363330699999996,2.1344,2.002330627300953,1.84842,2.4414
2.531205465,2.53045,2.332002672131499,2.16204,2.8933
1.8407769699999998,1.8422100000000001,1.682365304171063,1.51559,2.15355
1.8459140687499997,1.84625,2.0082553716175124,1.54395,2.15978
2.323914591875,2.3235,2.0168145452452353,1.99052,2.65931
2.08021363625,2.08028,1.8668483658762236,1.75508,2.41801
2.1832222700000004,2.183845,1.9857037489356122,1.82087,2.54166
2.030561264375,2.03317,1.5616093743302006,1.68282,2.39067
2.196842479375,2.199025,2.159923482373239,1.88944,2.5261
2.4695070118749998,2.4702,2.4421854706296737,2.16284,2.80067
2.256237558125,2.25844,2.0235500762696574,1.93369,2.60688
2.1471472425,2.147285,2.2103235507072303,1.78182,2.51019
2.115289813125,2.11489,2.272940952197591,1.80694,2.42521
2.421398685,2.42281,2.010798147432634,2.09186,2.75926
1.721533771875,1.72133,1.69675346059237,1.43075,2.03893
1.872233564375,1.870935,1.9198245326296435,1.55287,2.1923
2.227032800625,2.22763,2.4830736268903815,1.92727,2.54161
1.8678757437499998,1.869345,1.3413640464959216,1.54041,2.18952
1.81172331,1.81289,1.5193161389669798,1.49059,2.15251
1.992170015625,1.99301,1.9380470043232767,1.64942,2.31136
1.4508411399375,1.450205,1.4030100641817453,1.16943,1.77004
1.6771565018750003,1.67824,1.6475956088476496,1.35787,1.98578
1.7690179231249998,1.769505,1.758848042949426,1.45099,2.08427
2.342947043125,2.34377,2.2196964534164585,2.02472,2.70556
1.5509817851875,1.55106,1.5386645759550939,1.24864,1.87534
2.083795246875,2.082255,2.073598288540723,1.78663,2.4011
1.2252912122500002,1.2254800000000001,1.7200438427113578,0.93223,1.51595
1.761229670625,1.761905,1.9305112378095917,1.42047,2.11224
2.201887268125,2.20122,1.884336083599765,1.87327,2.52153
1.70019377625,1.69992,1.9753010894232348,1.3934,2.01333
