mean_alpha,median_alpha,real_alpha,HDI_alpha_bottom,HDI_alpha_top
0.58040694284875,0.5789635,0.4200312272160642,0.210668,0.927282
0.5599697373,0.5587015,0.43208526584598006,0.196393,0.915977
0.29585686512118753,0.28565850000000004,0.4272401420912664,0.00662611,0.572753
0.6032414977124999,0.6055345,0.5044094339100206,0.230222,0.968684
0.7521323351250001,0.7493985,0.5245781870775268,0.365009,1.14716
0.8483568321875,0.8457490000000001,0.7248864535856052,0.464343,1.22832
0.6657957308443749,0.66519,0.4324049808525871,0.310361,1.05169
0.297693951161125,0.287517,0.39144129581366294,0.0017322,0.579589
0.9677125188124999,0.96548,0.6479612499291544,0.598272,1.33314
1.1989154559375,1.197025,0.8765024196409241,0.768327,1.62478
0.6248802622437499,0.623798,0.37731522160927133,0.300605,0.970234
0.73643173973,0.73577,0.6443504832393521,0.309106,1.14685
0.7891787797250001,0.7860834999999999,0.5271667009961717,0.416866,1.17361
1.2957667324375,1.291645,0.7608884448392672,0.858478,1.70845
0.622053921688125,0.618426,0.5204182378193595,0.279831,0.984526
0.74333565743125,0.739997,0.7135819884159985,0.385199,1.09023
0.8655093163125,0.8624339999999999,0.78908369304524,0.48588,1.24455
0.8054519477625001,0.8035945,0.7791882346688368,0.454203,1.16203
1.1034490065625,1.100055,0.7282106126396233,0.682978,1.53135
0.9488241364375,0.9458125,0.7005741514762535,0.555496,1.31435
0.559475215128125,0.5583134999999999,0.4054839980650977,0.126901,0.976958
0.6237779067074999,0.62312,0.6809099743339133,0.247362,0.998086
0.69593041349375,0.6924790000000001,0.6321506254946513,0.311961,1.09722
1.346447500625,1.34268,0.8461172504553902,0.921392,1.78635
0.91216376325625,0.9112255,0.5708698646673367,0.52227,1.30446
0.578176891163125,0.5737705,0.6839804575276898,0.210313,0.932677
0.616861783875625,0.615158,0.3475954745230249,0.272719,0.988123
0.57144562628125,0.5702805,0.577062051316724,0.21,0.912889
0.5148166881562499,0.5132625,0.5583438844644889,0.133847,0.869942
0.8865904847500001,0.887454,0.4765102182227735,0.484573,1.2455
0.9627394341250001,0.9592775,0.8452633918412431,0.525035,1.38829
0.18434687974780628,0.1648115,0.6050448153116408,6.34153e-05,0.423569
0.40824209346218754,0.39875499999999997,0.4468096751421685,0.0466416,0.771083
0.32436009795581255,0.314998,0.2574082128754774,0.0192608,0.629985
0.9550136118124999,0.9530055,0.6551303863585254,0.578718,1.33353
1.0217608178750002,1.019085,0.7377520704583268,0.668443,1.3794
1.5150615988749998,1.509575,0.9113457661485751,1.08438,1.94958
0.51768751785125,0.5130485,0.5554060791181885,0.116102,0.893491
0.99952649110625,0.9972785,0.6095054429781538,0.660077,1.37112
0.72970161299375,0.729325,0.6423511674153725,0.356722,1.10958
0.25587509921198126,0.238186,0.2617877714119131,0.00010061,0.536048
