mean_alpha,mean_b,mean_k_1,mean_k_2,mean_g,mean_m,mean_threshold_word,mean_threshold_nonword,median_alpha,median_b,median_k_1,median_k_2,median_g,median_m,median_threshold_word,median_threshold_nonword,real_k_1,HDI_k_1_bottom,HDI_k_1_top,real_k_2,HDI_k_2_bottom,HDI_k_2_top,real_alpha,HDI_alpha_bottom,HDI_alpha_top,real_b,HDI_b_bottom,HDI_b_top,real_g,HDI_g_bottom,HDI_g_top,real_m,HDI_m_bottom,HDI_m_top,real_threshold_word,HDI_threshold_word_bottom,HDI_threshold_word_top,real_threshold_nonword,HDI_threshold_nonword_bottom,HDI_threshold_nonword_top
1.8299856092857143,1.4035466719999998,2.1304786936428575,4.3768120971428575,0.1226677864,0.5827863886428571,1.3929391935714284,1.457626115,1.799655,1.403835,2.12908,4.369825,0.112651,0.585542,1.3871,1.452135,1.8421799401707104,1.19188,3.1395,5.0047914653120955,3.64533,5.13571,1.6448801164742057,1.20069,2.5822,1.3814362629269925,0.980725,1.82708,-0.0021708368033994396,0.0114525,0.251316,0.5081841184547075,0.430681,0.728881,1.4449679522749213,1.18107,1.62334,1.720937156408813,1.23647,1.69064
2.880012571428571,1.163387817142857,4.274583019285714,4.9424443021428575,0.09664067599357143,0.5208657861428571,1.7560589450000001,1.8491028721428573,2.8458449999999997,1.16213,4.269205,4.928565,0.08679965,0.523631,1.750045,1.845575,2.9770263268082258,3.24661,5.29694,5.131247393878844,4.22676,5.69413,2.3686497696575506,2.07597,3.75776,1.4778881700431317,0.761003,1.54325,0.20428555772402507,0.00923766,0.205597,0.5658070574653863,0.384912,0.646379,1.661926595603837,1.48528,2.04278,1.7148790774410663,1.57227,2.13069
1.7709936833571431,1.5465661177142855,2.5695447204999997,4.464102992142857,0.12705859507142858,0.5326777894285715,1.4794154078571429,1.516892352857143,1.73613,1.54433,2.57266,4.459535,0.121885,0.5349539999999999,1.474415,1.511315,2.622647812367131,1.54051,3.56394,5.17877877254016,3.65475,5.21902,1.3292243829502675,1.13838,2.49824,1.536747013772036,1.08137,1.99048,0.278869017251934,0.0167352,0.243,0.5452451417480033,0.403891,0.668748,1.5973250260878147,1.23863,1.73157,1.55548165016692,1.27627,1.75671
2.148167352857143,0.962400758,2.9824453035714287,4.564676027857143,0.20786983929,0.37809786407142865,1.9488547385714285,1.7860008342857143,2.11702,0.9609725,2.977805,4.5583100000000005,0.2051285,0.377464,1.94557,1.7812649999999999,1.7104317184877011,2.10349,3.87221,4.613365387595247,3.8459,5.30149,1.8266573793673384,1.53811,2.86882,1.231746816670914,0.627024,1.28884,0.17978408828132353,0.0398008,0.377035,0.5442292796589576,0.234885,0.532596,1.80690118367182,1.64984,2.23861,1.746162832574209,1.49748,2.09283
2.0549576178571427,0.9010904249285715,3.4307219707142855,4.533872317857143,0.34403455936428573,0.472154181,1.6191145171428571,1.4073250635714287,2.0267749999999998,0.8970130000000001,3.43117,4.526565,0.34474649999999996,0.4738465,1.614935,1.4012250000000002,2.434996426766319,2.39239,4.46298,4.798672825053197,3.74159,5.29889,1.6769729712301498,1.41333,2.76649,1.3666349324933917,0.50551,1.31137,0.3334450816751957,0.198148,0.486449,0.549953075019058,0.318473,0.622761,1.7527232038610416,1.37092,1.90252,1.4732691542724785,1.17145,1.64055
1.995177794857143,1.5814129894285713,2.4633354890000003,4.849582840000001,0.20812183496285713,0.45088316392857136,1.9677961685714285,1.7112151657142858,1.96797,1.577145,2.466195,4.84609,0.2056885,0.4521815,1.96319,1.7057250000000002,2.2905685096151833,1.51089,3.43423,5.0539846702778295,4.04321,5.63389,2.069071906475229,1.34594,2.69436,1.4391310255442824,1.18048,2.00628,0.21376666844778355,0.0367305,0.374069,0.594715386674549,0.295947,0.605551,1.8980304784960782,1.65379,2.29543,1.7122969485544934,1.42846,2.00991
1.5102093210714287,1.7275265308571428,2.5354622385714287,5.283911405714286,0.12641897203357144,0.5125144619285714,1.7146862685714286,1.493338522142857,1.491435,1.72723,2.521555,5.282,0.12295800000000001,0.51518,1.707695,1.487215,1.5064619638078909,1.41909,3.54704,5.103430466313733,4.41974,6.12936,1.9050105517983635,1.00828,2.04816,1.4112212808430467,1.30451,2.14839,0.22686805043655278,0.0173088,0.234326,0.4932425357632104,0.375905,0.653949,1.7487476261609718,1.43,2.02178,1.5530449027282927,1.23985,1.75189
2.5693342764285716,0.9781216537857144,3.046469601214286,4.241659447857144,0.30528790819928575,0.43006027342857145,1.642766185714286,1.5011477585714283,2.53999,0.9750745,3.045095,4.228065,0.3071565,0.430958,1.6379,1.494895,2.755188827182601,2.14411,4.02355,4.8722528183161495,3.55034,4.95201,2.041181611496014,1.77957,3.44705,0.9898391709400949,0.613306,1.36477,0.2321824396712735,0.100809,0.489905,0.4223062461334306,0.27051,0.587186,1.6207365689982196,1.41757,1.89816,1.6296965978582252,1.27068,1.73628
2.1006971325714283,1.0132776832857142,4.003184155,4.118883972142857,0.42475334235000006,0.4863193935,1.8760926685714283,1.9869047628571428,2.07723,1.0071400000000001,4.00025,4.114125,0.430519,0.4899945,1.866155,1.977725,2.859044505226756,3.02421,5.00494,4.444564688645591,3.42556,4.79842,1.7642711720324018,1.43301,2.77003,1.236303397653943,0.618869,1.42852,0.35708723053581737,0.195219,0.643946,0.6307158481719071,0.337914,0.633721,1.7912186672876471,1.54682,2.19878,2.0490869978323256,1.6354,2.37243
2.3661207864285716,1.2538371757857143,3.2790636192857137,3.768820571428572,0.1705282340142857,0.5377015062142857,1.9666960521428571,1.3693766222857142,2.332485,1.24813,3.281885,3.758795,0.1695085,0.540274,1.9577149999999999,1.360675,2.1103177316697344,2.21244,4.30691,5.214003753159875,3.11719,4.47951,1.269366571296062,1.56635,3.23958,1.6655980531079102,0.834652,1.69611,0.20571405320541666,0.0556008,0.291602,0.7042018118179112,0.401495,0.663104,2.0363425256984846,1.63384,2.32582,1.715482643611027,1.14166,1.60492
