,mean,std
alpha,1.852984943,0.4071427664146641
b,0.33714007303,0.13294858706360552
k_1,2.45230708,0.49125096208707175
k_2,3.46733532,0.37105376775650395
threshold_word,1.202835361,0.12607605261325672
threshold_nonword,1.6558542,0.14330057013410658
g,0.067546141526,0.053860834341349736
m,1.49454949,0.21899454781426841
