name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
ndt_t[4799],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
ndt_t[4800],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
ndt_t[4801],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
ndt_t[4802],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
ndt_t[4803],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
ndt_t[4804],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
ndt_t[4805],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
ndt_t[4806],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
ndt_t[4807],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
ndt_t[4808],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
ndt_t[4809],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
ndt_t[4810],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
ndt_t[4811],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
ndt_t[4812],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
ndt_t[4813],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
ndt_t[4814],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
ndt_t[4815],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
ndt_t[4816],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
ndt_t[4817],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
ndt_t[4818],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
ndt_t[4819],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
ndt_t[4820],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
ndt_t[4821],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
ndt_t[4822],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
ndt_t[4823],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
ndt_t[4824],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
ndt_t[4825],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
ndt_t[4826],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
ndt_t[4827],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
ndt_t[4828],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
ndt_t[4829],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
ndt_t[4830],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
ndt_t[4831],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
ndt_t[4832],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
ndt_t[4833],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
ndt_t[4834],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
ndt_t[4835],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
ndt_t[4836],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
ndt_t[4837],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
ndt_t[4838],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
ndt_t[4839],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
ndt_t[4840],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
ndt_t[4841],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
ndt_t[4842],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
ndt_t[4843],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
ndt_t[4844],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
ndt_t[4845],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
ndt_t[4846],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
ndt_t[4847],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
ndt_t[4848],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
ndt_t[4849],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
ndt_t[4850],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
ndt_t[4851],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
ndt_t[4852],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
ndt_t[4853],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
ndt_t[4854],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
ndt_t[4855],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
ndt_t[4856],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
ndt_t[4857],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
ndt_t[4858],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
ndt_t[4859],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
ndt_t[4860],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
