name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
threshold_t_word[23948],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[23949],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[23950],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[23951],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[23952],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[23953],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[23954],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[23955],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[23956],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[23957],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[23958],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[23959],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[23960],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[23961],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[23962],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[23963],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[23964],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[23965],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[23966],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[23967],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[23968],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[23969],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[23970],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[23971],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[23972],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[23973],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[23974],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[23975],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[23976],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[23977],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[23978],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[23979],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[23980],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[23981],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[23982],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[23983],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[23984],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[23985],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[23986],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[23987],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[23988],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[23989],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[23990],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[23991],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[23992],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[23993],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[23994],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[23995],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[23996],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[23997],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[23998],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[23999],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24000],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24001],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24002],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24003],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24004],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24005],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24006],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24007],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24008],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24009],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24010],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24011],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24012],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24013],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24014],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24015],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24016],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24017],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24018],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24019],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24020],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24021],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24022],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24023],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24024],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24025],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
