,mean,std
alpha,1.811836351,0.36485015273295673
b,1.3259999740526316,0.20806862510543944
k_1,2.3785591862105266,0.5123185602591077
k_2,4.899187964210527,0.45826992738484185
threshold_word,1.667129142105263,0.15172145550386532
threshold_nonword,1.716553682631579,0.17806538212129103
g,0.2277465838361579,0.10187015151614219
m,0.559567806894737,0.07923161418644126
